"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","F2_5","CG56","T268_95","BM37_95","AV25_95","CG78","CG78b","CG678","CG1103","SF93","V80_94","AS1H41","CG98","NW221","RF21","T17","S4","Sz1b","CG81","CG474","CG967","CG1118"
"g006934_000005","g006934","rpsE","30S ribosomal protein S5",95,10,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S5(311)","rpsE(311)",570,570,570,1,12,"F2_5_02565","CG56_01949","T268_95_04838","BM37_95_00305","AV25_95_03167","CG78_02463","CG78b_02226","CG678_02224","CG1103_00116","SF93_03196","V80_94_03061","AS1H41_03061","CG98_04230","NW221_05147","RF21_01009","T17_01140","S4_01461","Sz1b_02322","CG81_04692","CG474_01948","CG967_05291","CG1118_05168"
"g007728_000003","g007728","rpmD","50S ribosomal protein L30",80,9,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L30(311)","rpmD(311)",204,213,208.13,1,13,"F2_5_02566","CG56_01948","T268_95_04839","BM37_95_00306","AV25_95_03168","CG78_02464","CG78b_02227","CG678_02225","CG1103_00115","SF93_03195","V80_94_03062","AS1H41_03062","CG98_04229","NW221_05146","RF21_01008","T17_01141","S4_01462","Sz1b_02323","CG81_04691","CG474_01949","CG967_05290","CG1118_05167"
"g004378_000003","g004378","rplO","50S ribosomal protein L15",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L15(311)","rplO(311)",471,486,477.75,1,14,"F2_5_02567","CG56_01947","T268_95_04840","BM37_95_00307","AV25_95_03169","CG78_02465","CG78b_02228","CG678_02226","CG1103_00114","SF93_03194","V80_94_03063","AS1H41_03063","CG98_04228","NW221_05145","RF21_01007","T17_01142","S4_01463","Sz1b_02324","CG81_04690","CG474_01950","CG967_05289","CG1118_05166"
"g004743_000004","g004743","secY","Protein translocase subunit SecY",90,15,311,1,1,1,0,0,0,0,311,"Protein translocase subunit SecY(311)","secY(311)",1341,1461,1342.51,1,15,"F2_5_02568","CG56_01946","T268_95_04841","BM37_95_00308","AV25_95_03170","CG78_02466","CG78b_02229","CG678_02227","CG1103_00113","SF93_03193","V80_94_03064","AS1H41_03064","CG98_04227","NW221_05144","RF21_01006","T17_01143","S4_01464","Sz1b_02325","CG81_04689","CG474_01951","CG967_05288","CG1118_05165"
"g002258_000003","g002258","rsmH","Ribosomal RNA small subunit methyltransferase H",80,30,311,1,1,1,0,0,0,0,311,"Ribosomal RNA small subunit methyltransferase H(311)","rsmH(311)",684,1026,1024.9,2,1,"F2_5_00104","CG56_01641","T268_95_00205","BM37_95_02585","AV25_95_00962","CG78_05103","CG78b_02606","CG678_02606","CG1103_05098","SF93_05640","V80_94_01392","AS1H41_01392","CG98_03921","NW221_00745","RF21_04818","T17_05004","S4_02296","Sz1b_01287","CG81_03604","CG474_03588","CG967_00255","CG1118_05536"
"g002894","g002894",NA,"hypothetical protein",50,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",384,567,532.21,2,2,"F2_5_00103","CG56_01642","T268_95_00204","BM37_95_02584","AV25_95_00961","CG78_05104","CG78b_02605","CG678_02605","CG1103_05097","SF93_05639","V80_94_01391","AS1H41_01391","CG98_03922","NW221_00746","RF21_04819","T17_05003","S4_02295","Sz1b_01288","CG81_03605","CG474_03587","CG967_00254","CG1118_05535"
"g000328_1_000007","g000328_1","ftsI","putative peptidoglycan D%2CD-transpeptidase FtsI",70,22,311,1,1,2,0,1,0,1,312,"putative peptidoglycan D%2CD-transpeptidase FtsI(311):hypothetical protein(1)","ftsI(311):NA(1)",144,1755,1737.09,2,3,"F2_5_00102","CG56_01643","T268_95_00203","BM37_95_02583","AV25_95_00960","CG78_05105","CG78b_02604","CG678_02604","CG1103_05096","SF93_05638","V80_94_01390","AS1H41_01390","CG98_03923","NW221_00747","RF21_04820","T17_05002","S4_02294","Sz1b_01289","CG81_03606","CG474_03586","CG967_00253","CG1118_05534"
"g001168_000002","g001168","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase",70,40,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase(311)","murE(311)",1302,1470,1463.41,2,4,"F2_5_00101","CG56_01644","T268_95_00202","BM37_95_02582","AV25_95_00959","CG78_05106","CG78b_02603","CG678_02603","CG1103_05095","SF93_05637","V80_94_01389","AS1H41_01389","CG98_03924","NW221_00748","RF21_04821","T17_05001","S4_02293","Sz1b_01290","CG81_03607","CG474_03585","CG967_00252","CG1118_05533"
"g002659_000001","g002659","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase",60,27,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase(311)","murF(311)",1407,1461,1427.05,2,5,"F2_5_00100","CG56_01645","T268_95_00201","BM37_95_02581","AV25_95_00958","CG78_05107","CG78b_02602","CG678_02602","CG1103_05094","SF93_05636","V80_94_01388","AS1H41_01388","CG98_03925","NW221_00749","RF21_04822","T17_05000","S4_02292","Sz1b_01291","CG81_03608","CG474_03584","CG967_00251","CG1118_05532"
"g005745_000003","g005745","mraY","Phospho-N-acetylmuramoyl-pentapeptide-transferase",80,13,311,1,1,1,0,0,0,0,311,"Phospho-N-acetylmuramoyl-pentapeptide-transferase(311)","mraY(311)",1101,1122,1107.58,2,6,"F2_5_00099","CG56_01646","T268_95_00200","BM37_95_02580","AV25_95_00957","CG78_05108","CG78b_02601","CG678_02601","CG1103_05093","SF93_05635","V80_94_01387","AS1H41_01387","CG98_03926","NW221_00750","RF21_04823","T17_04999","S4_02291","Sz1b_01292","CG81_03609","CG474_03583","CG967_00250","CG1118_05531"
"g000775_000002","g000775","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase",70,47,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoylalanine--D-glutamate ligase(311)","murD(311)",1407,1596,1418.61,2,7,"F2_5_00098","CG56_01647","T268_95_00199","BM37_95_02579","AV25_95_00956","CG78_05109","CG78b_02600","CG678_02600","CG1103_05092","SF93_05634","V80_94_01386","AS1H41_01386","CG98_03927","NW221_00751","RF21_04824","T17_04998","S4_02290","Sz1b_01293","CG81_03610","CG474_03582","CG967_00249","CG1118_05530"
"g005025_1_000003","g005025_1","ftsW","putative peptidoglycan glycosyltransferase FtsW",70,14,311,1,1,1,0,0,0,0,311,"putative peptidoglycan glycosyltransferase FtsW(311)","ftsW(311)",465,1158,1152.79,2,8,"F2_5_00097","CG56_01648","T268_95_00198","BM37_95_02578","AV25_95_00955","CG78_05110","CG78b_02599","CG678_02599","CG1103_05091","SF93_05633","V80_94_01385","AS1H41_01385","CG98_03928","NW221_00752","RF21_04825","T17_04997","S4_02289","Sz1b_01294","CG81_03611","CG474_03581","CG967_00248","CG1118_05529"
"g001766_000002","g001766","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase",70,32,311,1,1,1,1,0,1,0,311,"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase(312)","murG(312)",312,1140,1127.62,2,9,"F2_5_00096","CG56_01649","T268_95_00197","BM37_95_02577","AV25_95_00954","CG78_05111","CG78b_02598","CG678_02598","CG1103_05090","SF93_05632","V80_94_01384","AS1H41_01384","CG98_03929","NW221_00753","RF21_04826","T17_04996","S4_02288","Sz1b_01295","CG81_03612","CG474_03580","CG967_00247","CG1118_05528"
"g004519_000003","g004519","murC","UDP-N-acetylmuramate--L-alanine ligase",80,15,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramate--L-alanine ligase(311)","murC(311)",1389,1446,1416.02,2,10,"F2_5_00095","CG56_01650","T268_95_00196","BM37_95_02576","AV25_95_00953","CG78_05112","CG78b_02597","CG678_02597","CG1103_05089","SF93_05631","V80_94_01383","AS1H41_01383","CG98_03930","NW221_00754","RF21_04827","T17_04995","S4_02287","Sz1b_01296","CG81_03613","CG474_03579","CG967_00246","CG1118_05527"
"g003732_000003","g003732","murB","UDP-N-acetylenolpyruvoylglucosamine reductase",80,19,311,1,1,1,0,0,0,0,311,"UDP-N-acetylenolpyruvoylglucosamine reductase(311)","murB(311)",966,975,969.94,2,11,"F2_5_00094","CG56_01651","T268_95_00195","BM37_95_02575","AV25_95_00952","CG78_05113","CG78b_02596","CG678_02596","CG1103_05088","SF93_05630","V80_94_01382","AS1H41_01382","CG98_03931","NW221_00755","RF21_04828","T17_04994","S4_02286","Sz1b_01297","CG81_03614","CG474_03578","CG967_00245","CG1118_05526"
"g003127_000002","g003127",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",294,354,297.47,3,1,"F2_5_02542","CG56_03113","T268_95_04815","BM37_95_00282","AV25_95_03144","CG78_02440","CG78b_02203","CG678_02201","CG1103_00139","SF93_03229","V80_94_03038","AS1H41_03038","CG98_04253","NW221_05170","RF21_02975","T17_04072","S4_01438","Sz1b_02299","CG81_04715","CG474_01925","CG967_05314","CG1118_05191"
"g000002_000006","g000002","rpsL","30S ribosomal protein S12",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S12(311)","rpsL(311)",372,372,372,3,2,"F2_5_02543","CG56_03112","T268_95_04816","BM37_95_00283","AV25_95_03145","CG78_02441","CG78b_02204","CG678_02202","CG1103_00138","SF93_03230","V80_94_03039","AS1H41_03039","CG98_04252","NW221_05169","RF21_02974","T17_04073","S4_01439","Sz1b_02300","CG81_04714","CG474_01926","CG967_05313","CG1118_05190"
"g009525_000004","g009525","rpsG","30S ribosomal protein S7",90,7,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S7(311)","rpsG(311)",393,471,470.75,3,3,"F2_5_02544","CG56_03111","T268_95_04817","BM37_95_00284","AV25_95_03146","CG78_02442","CG78b_02205","CG678_02203","CG1103_00137","SF93_03231","V80_94_03040","AS1H41_03040","CG98_04251","NW221_05168","RF21_02973","T17_04074","S4_01440","Sz1b_02301","CG81_04713","CG474_01927","CG967_05312","CG1118_05189"
"g007880_000004","g007880","fusA","Elongation factor G",90,7,311,1,1,1,0,0,0,0,311,"Elongation factor G(311)","fusA(311)",2100,2100,2100,3,4,"F2_5_02545","CG56_03110","T268_95_04818","BM37_95_00285","AV25_95_03147","CG78_02443","CG78b_02206","CG678_02204","CG1103_00136","SF93_03232","V80_94_03041","AS1H41_03041","CG98_04250","NW221_05167","RF21_02972","T17_04075","S4_01441","Sz1b_02302","CG81_04712","CG474_01928","CG967_05311","CG1118_05188"
"g000001_000006","g000001","rpsJ","30S ribosomal protein S10",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S10(311)","rpsJ(311)",309,309,309,3,5,"F2_5_02547","CG56_01967","T268_95_04820","BM37_95_00287","AV25_95_03149","CG78_02445","CG78b_02208","CG678_02206","CG1103_00134","SF93_03214","V80_94_03043","AS1H41_03043","CG98_04248","NW221_05165","RF21_01027","T17_01122","S4_01443","Sz1b_02304","CG81_04710","CG474_01930","CG967_05309","CG1118_05186"
"g005427_000003","g005427","rplC","50S ribosomal protein L3",80,13,311,1,1,1,1,0,1,0,311,"50S ribosomal protein L3(312)","rplC(312)",270,642,639.61,3,6,"F2_5_02548","CG56_01966","T268_95_04821","BM37_95_00288","AV25_95_03150","CG78_02446","CG78b_02209","CG678_02207","CG1103_00133","SF93_03213","V80_94_03044","AS1H41_03044","CG98_04247","NW221_05164","RF21_01026","T17_01123","S4_01444","Sz1b_02305","CG81_04709","CG474_01931","CG967_05308","CG1118_05185"
"g006439_000003","g006439","rplD","50S ribosomal protein L4",80,11,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L4(311)","rplD(311)",519,621,620.34,3,7,"F2_5_02549","CG56_01965","T268_95_04822","BM37_95_00289","AV25_95_03151","CG78_02447","CG78b_02210","CG678_02208","CG1103_00132","SF93_03212","V80_94_03045","AS1H41_03045","CG98_04246","NW221_05163","RF21_01025","T17_01124","S4_01445","Sz1b_02306","CG81_04708","CG474_01932","CG967_05307","CG1118_05184"
"g009612_000003","g009612","rplW","50S ribosomal protein L23",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L23(311)","rplW(311)",294,294,294,3,8,"F2_5_02550","CG56_01964","T268_95_04823","BM37_95_00290","AV25_95_03152","CG78_02448","CG78b_02211","CG678_02209","CG1103_00131","SF93_03211","V80_94_03046","AS1H41_03046","CG98_04245","NW221_05162","RF21_01024","T17_01125","S4_01446","Sz1b_02307","CG81_04707","CG474_01933","CG967_05306","CG1118_05183"
"g007119_000004","g007119","rplB","50S ribosomal protein L2",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L2(311)","rplB(311)",837,837,837,3,9,"F2_5_02551","CG56_01963","T268_95_04824","BM37_95_00291","AV25_95_03153","CG78_02449","CG78b_02212","CG678_02210","CG1103_00130","SF93_03210","V80_94_03047","AS1H41_03047","CG98_04244","NW221_05161","RF21_01023","T17_01126","S4_01447","Sz1b_02308","CG81_04706","CG474_01934","CG967_05305","CG1118_05182"
"g007797_000004","g007797","rpsS","30S ribosomal protein S19",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S19(311)","rpsS(311)",279,279,279,3,10,"F2_5_02552","CG56_01962","T268_95_04825","BM37_95_00292","AV25_95_03154","CG78_02450","CG78b_02213","CG678_02211","CG1103_00129","SF93_03209","V80_94_03048","AS1H41_03048","CG98_04243","NW221_05160","RF21_01022","T17_01127","S4_01448","Sz1b_02309","CG81_04705","CG474_01935","CG967_05304","CG1118_05181"
"g000403_000001","g000403","mnmG","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG",60,57,311,1,1,1,3,0,3,0,311,"tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG(311):Ribosomal RNA small subunit methyltransferase G(3)","mnmG(311):rsmG(3)",618,2508,1871.37,4,1,"F2_5_03919","CG56_05152","T268_95_04090","BM37_95_05071","AV25_95_03840","CG78_01327","CG78b_04810","CG678_04807","CG1103_03912","SF93_04381","V80_94_03820","AS1H41_03820","CG98_02555","NW221_04184","RF21_03641","T17_05463","S4_03487","Sz1b_03856","CG81_05943","CG474_04059","CG967_05701","CG1118_01931"
"g000098","g000098","mnmE","tRNA modification GTPase MnmE",50,84,311,1,1,1,0,0,0,0,311,"tRNA modification GTPase MnmE(311)","mnmE(311)",1146,1338,1326.3,4,2,"F2_5_03920","CG56_05153","T268_95_04091","BM37_95_05072","AV25_95_03841","CG78_01328","CG78b_04811","CG678_04808","CG1103_03911","SF93_04380","V80_94_03821","AS1H41_03821","CG98_02554","NW221_04185","RF21_03640","T17_05462","S4_03488","Sz1b_03857","CG81_05944","CG474_04058","CG967_05702","CG1118_01930"
"g009870_000005","g009870","rho","Transcription termination factor Rho",95,5,311,1,1,1,0,0,0,0,311,"Transcription termination factor Rho(311)","rho(311)",1266,1395,1268.5,4,3,"F2_5_03921","CG56_05154","T268_95_04092","BM37_95_05073","AV25_95_03842","CG78_01329","CG78b_04812","CG678_04809","CG1103_03910","SF93_04379","V80_94_03822","AS1H41_03822","CG98_02553","NW221_04186","RF21_03639","T17_05461","S4_03489","Sz1b_03858","CG81_05945","CG474_04057","CG967_05703","CG1118_01929"
"g000085","g000085","hemE","Uroporphyrinogen decarboxylase",50,86,311,1,1,1,310,0,310,0,311,"Uroporphyrinogen decarboxylase(311):hypothetical protein(310)","hemE(311):NA(310)",483,1575,792.74,4,4,"(F2_5_03922:F2_5_03923)","(CG56_05155:CG56_05156)","(T268_95_04093:T268_95_04094)","(BM37_95_05074:BM37_95_05075)","(AV25_95_03843:AV25_95_03844)","(CG78_01330:CG78_01331)","(CG78b_04813:CG78b_04814)","(CG678_04810:CG678_04811)","(CG1103_03908:CG1103_03909)","(SF93_04377:SF93_04378)","(V80_94_03823:V80_94_03824)","(AS1H41_03823:AS1H41_03824)","(CG98_02551:CG98_02552)","(NW221_04187:NW221_04188)","(RF21_03637:RF21_03638)","(T17_05459:T17_05460)","(S4_03490:S4_03491)","(Sz1b_03859:Sz1b_03860)","(CG81_05946:CG81_05947)","(CG474_04055:CG474_04056)","(CG967_05704:CG967_05705)","(CG1118_01927:CG1118_01928)"
"g003786_000002","g003786","yqfL","Putative pyruvate%2C phosphate dikinase regulatory protein",70,21,311,1,1,1,0,0,0,0,311,"Putative pyruvate%2C phosphate dikinase regulatory protein(311)","yqfL(311)",663,885,812.38,4,5,"F2_5_03924","CG56_05157","T268_95_04095","BM37_95_05076","AV25_95_03845","CG78_01332","CG78b_04815","CG678_04812","CG1103_03907","SF93_04376","V80_94_03825","AS1H41_03825","CG98_02550","NW221_04189","RF21_03636","T17_05458","S4_00001","Sz1b_03861","CG81_05948","CG474_04054","CG967_05706","CG1118_01926"
"g000157","g000157","maf","Septum formation protein Maf",50,59,311,1,1,1,0,0,0,0,311,"Septum formation protein Maf(176):Maf-like protein YceF(133):Maf-like protein YhdE(2)","maf(176):yceF(133):yhdE(2)",600,600,600,4,6,"F2_5_03925","CG56_05158","T268_95_04096","BM37_95_05077","AV25_95_03846","CG78_01333","CG78b_04816","CG678_04813","CG1103_03906","SF93_04375","V80_94_03826","AS1H41_03826","CG98_02549","NW221_04190","RF21_03635","T17_05457","S4_00002","Sz1b_03862","CG81_05949","CG474_04053","CG967_05707","CG1118_01925"
"g000297_000001","g000297","aroE","Shikimate dehydrogenase (NADP(+))",60,64,311,1,1,1,0,0,0,0,311,"Shikimate dehydrogenase (NADP(+))(311)","aroE(311)",858,864,861.1,4,7,"F2_5_03926","CG56_05159","T268_95_04097","BM37_95_05078","AV25_95_03847","CG78_01334","CG78b_04817","CG678_04814","CG1103_03905","SF93_04374","V80_94_03827","AS1H41_03827","CG98_02548","NW221_04191","RF21_03634","T17_05456","S4_00003","Sz1b_03863","CG81_05950","CG474_04052","CG967_05708","CG1118_01924"
"g000165","g000165","coaE","Dephospho-CoA kinase",50,74,311,1,1,1,0,0,0,0,311,"Dephospho-CoA kinase(311)","coaE(311)",582,618,604.82,4,8,"F2_5_03927","CG56_05160","T268_95_04098","BM37_95_05079","AV25_95_03848","CG78_01335","CG78b_04818","CG678_04815","CG1103_03904","SF93_04373","V80_94_03828","AS1H41_03828","CG98_02547","NW221_04192","RF21_03633","T17_05455","S4_00004","Sz1b_03864","CG81_05951","CG474_04051","CG967_05709","CG1118_01923"
"g001374_000002","g001374","dnaQ","DNA polymerase III subunit epsilon",70,37,311,1,1,1,4,0,4,0,311,"DNA polymerase III subunit epsilon(305):DNA polymerase III PolC-type(10)","dnaQ(305):polC(10)",345,717,695.85,4,9,"F2_5_03928","CG56_05161","T268_95_04099","BM37_95_05080","AV25_95_03849","CG78_01336","CG78b_04819","CG678_04816","CG1103_03903","SF93_04372","V80_94_03829","AS1H41_03829","CG98_02546","NW221_04193","RF21_03632","T17_05454","S4_00005","Sz1b_03865","CG81_05952","CG474_04050","CG967_05710","CG1118_01922"
"g004610_000003","g004610","secB","Protein-export protein SecB",80,17,311,1,1,1,0,0,0,0,311,"Protein-export protein SecB(311)","secB(311)",462,483,478.8,4,10,"F2_5_03929","CG56_05162","T268_95_04100","BM37_95_05081","AV25_95_03850","CG78_01337","CG78b_04820","CG678_04817","CG1103_03902","SF93_04371","V80_94_03830","AS1H41_03830","CG98_02545","NW221_04194","RF21_03631","T17_05453","S4_00006","Sz1b_03866","CG81_05953","CG474_04049","CG967_05711","CG1118_01921"
"g007166_000004","g007166","rplU","50S ribosomal protein L21",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L21(311)","rplU(311)",315,318,315.79,5,1,"F2_5_03831","CG56_05050","T268_95_04003","BM37_95_04984","AV25_95_03753","CG78_00915","CG78b_04723","CG678_04720","CG1103_03998","SF93_04467","V80_94_03733","AS1H41_03733","CG98_02041","NW221_04098","RF21_03727","T17_05549","S4_03401","Sz1b_03768","CG81_05837","CG474_04146","CG967_05612","CG1118_02019"
"g006207_000003","g006207","rpmA","50S ribosomal protein L27",80,12,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L27(311)","rpmA(311)",270,273,270.49,5,2,"F2_5_03830","CG56_05049","T268_95_04002","BM37_95_04983","AV25_95_03752","CG78_00914","CG78b_04722","CG678_04719","CG1103_03999","SF93_04468","V80_94_03732","AS1H41_03732","CG98_02042","NW221_04097","RF21_03728","T17_05550","S4_03400","Sz1b_03767","CG81_05836","CG474_04147","CG967_05611","CG1118_02020"
"g004851_000002","g004851",NA,"hypothetical protein",70,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",633,639,633.85,5,3,"F2_5_03829","CG56_05048","T268_95_04001","BM37_95_04982","AV25_95_03751","CG78_00913","CG78b_04721","CG678_04718","CG1103_04000","SF93_04469","V80_94_03731","AS1H41_03731","CG98_02043","NW221_04096","RF21_03729","T17_05551","S4_03399","Sz1b_03766","CG81_05835","CG474_04148","CG967_05610","CG1118_02021"
"g000458","g000458",NA,"hypothetical protein",50,56,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",570,636,589.56,5,4,"F2_5_03828","CG56_05047","T268_95_04000","BM37_95_04981","AV25_95_03750","CG78_00912","CG78b_04720","CG678_04717","CG1103_04001","SF93_04470","V80_94_03730","AS1H41_03730","CG98_02044","NW221_04095","RF21_03730","T17_05552","S4_03398","Sz1b_03765","CG81_05834","CG474_04149","CG967_05609","CG1118_02022"
