"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","X1D132","X1D132b","C58","F4","NFIX02","Arqua","NFIX01","ARqua1","Kin001","N40_94","N33_94","str_12D13","X12D13","PDC82","Di1525a","ATCC31749","J_07","str_11546","str_2788"
"g000775_000002","g000775","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase",70,47,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoylalanine--D-glutamate ligase(311)","murD(311)",1407,1596,1418.61,2,7,"1D132_01818","1D132b_02867","C58_02066","F4_02157","NFIX02_02299","Arqua_04689","NFIX01_02394","ARqua1_00494","Kin001_01790","N40_94_00670","N33_94_00670","str_12D13_01719","12D13_02100","PDC82_00452","Di1525a_02667","ATCC31749_02890","J_07_00430","str_11546_01943","str_2788_00704"
"g005025_1_000003","g005025_1","ftsW","putative peptidoglycan glycosyltransferase FtsW",70,14,311,1,1,1,0,0,0,0,311,"putative peptidoglycan glycosyltransferase FtsW(311)","ftsW(311)",465,1158,1152.79,2,8,"1D132_01817","1D132b_02866","C58_02065","F4_02156","NFIX02_02300","Arqua_04688","NFIX01_02395","ARqua1_00493","Kin001_01789","N40_94_00669","N33_94_00669","str_12D13_01718","12D13_02099","PDC82_00453","Di1525a_02666","ATCC31749_02887","J_07_00431","str_11546_01942","str_2788_00703"
"g001766_000002","g001766","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase",70,32,311,1,1,1,1,0,1,0,311,"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase(312)","murG(312)",312,1140,1127.62,2,9,"1D132_01816","1D132b_02865","C58_02064","F4_02155","NFIX02_02301","Arqua_04687","NFIX01_02396","ARqua1_00492","Kin001_01788","N40_94_00668","N33_94_00668","str_12D13_01717","12D13_02098","PDC82_00454","Di1525a_02665","(ATCC31749_02885:ATCC31749_02886)","J_07_00432","str_11546_01941","str_2788_00702"
"g004519_000003","g004519","murC","UDP-N-acetylmuramate--L-alanine ligase",80,15,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramate--L-alanine ligase(311)","murC(311)",1389,1446,1416.02,2,10,"1D132_01815","1D132b_02864","C58_02063","F4_02154","NFIX02_02302","Arqua_04686","NFIX01_02397","ARqua1_00491","Kin001_01787","N40_94_00667","N33_94_00667","str_12D13_01716","12D13_02097","PDC82_00455","Di1525a_02664","ATCC31749_02884","J_07_00433","str_11546_01940","str_2788_00701"
"g003732_000003","g003732","murB","UDP-N-acetylenolpyruvoylglucosamine reductase",80,19,311,1,1,1,0,0,0,0,311,"UDP-N-acetylenolpyruvoylglucosamine reductase(311)","murB(311)",966,975,969.94,2,11,"1D132_01814","1D132b_02863","C58_02062","F4_02153","NFIX02_02303","Arqua_04685","NFIX01_02398","ARqua1_00490","Kin001_01786","N40_94_00666","N33_94_00666","str_12D13_01715","12D13_02096","PDC82_00456","Di1525a_02663","ATCC31749_02883","J_07_00434","str_11546_01939","str_2788_00700"
"g003127_000002","g003127",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",294,354,297.47,3,1,"1D132_01674","1D132b_02272","C58_01927","F4_02014","NFIX02_04621","Arqua_04549","NFIX01_00101","ARqua1_00355","Kin001_01651","N40_94_00516","N33_94_00516","str_12D13_01579","12D13_01960","PDC82_00645","Di1525a_02525","ATCC31749_02731","J_07_00569","str_11546_01798","str_2788_00565"
"g000002_000006","g000002","rpsL","30S ribosomal protein S12",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S12(311)","rpsL(311)",372,372,372,3,2,"1D132_01673","1D132b_02271","C58_01926","F4_02013","NFIX02_04620","Arqua_04548","NFIX01_00100","ARqua1_00354","Kin001_01650","N40_94_00515","N33_94_00515","str_12D13_01578","12D13_01959","PDC82_00646","Di1525a_02524","ATCC31749_02730","J_07_00570","str_11546_01797","str_2788_00564"
"g009525_000004","g009525","rpsG","30S ribosomal protein S7",90,7,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S7(311)","rpsG(311)",393,471,470.75,3,3,"1D132_01672","1D132b_02270","C58_01925","F4_02012","NFIX02_04619","Arqua_04547","NFIX01_00099","ARqua1_00353","Kin001_01649","N40_94_00514","N33_94_00514","str_12D13_01577","12D13_01958","PDC82_00647","Di1525a_02523","ATCC31749_02729","J_07_00571","str_11546_01796","str_2788_00563"
"g007880_000004","g007880","fusA","Elongation factor G",90,7,311,1,1,1,0,0,0,0,311,"Elongation factor G(311)","fusA(311)",2100,2100,2100,3,4,"1D132_01671","1D132b_02269","C58_01924","F4_02011","NFIX02_04618","Arqua_04546","NFIX01_00098","ARqua1_00352","Kin001_01648","N40_94_00513","N33_94_00513","str_12D13_01576","12D13_01957","PDC82_00648","Di1525a_02522","ATCC31749_02728","J_07_00572","str_11546_01795","str_2788_00562"
"g000001_000006","g000001","rpsJ","30S ribosomal protein S10",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S10(311)","rpsJ(311)",309,309,309,3,5,"1D132_01669","1D132b_02267","C58_01922","F4_02010","NFIX02_04488","Arqua_04544","NFIX01_00496","ARqua1_00350","Kin001_01646","N40_94_00511","N33_94_00511","str_12D13_01574","12D13_01955","PDC82_00650","Di1525a_02520","ATCC31749_02726","J_07_00574","str_11546_01793","str_2788_00560"
"g005427_000003","g005427","rplC","50S ribosomal protein L3",80,13,311,1,1,1,1,0,1,0,311,"50S ribosomal protein L3(312)","rplC(312)",270,642,639.61,3,6,"1D132_01668","1D132b_02266","C58_01921","F4_02009","NFIX02_04489","Arqua_04543","NFIX01_00495","ARqua1_00349","Kin001_01645","N40_94_00510","N33_94_00510","str_12D13_01573","12D13_01954","PDC82_00651","Di1525a_02519","ATCC31749_02725","J_07_00575","str_11546_01792","str_2788_00559"
"g006439_000003","g006439","rplD","50S ribosomal protein L4",80,11,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L4(311)","rplD(311)",519,621,620.34,3,7,"1D132_01667","1D132b_02265","C58_01920","F4_02008","NFIX02_04490","Arqua_04542","NFIX01_00494","ARqua1_00348","Kin001_01644","N40_94_00509","N33_94_00509","str_12D13_01572","12D13_01953","PDC82_00652","Di1525a_02518","ATCC31749_02724","J_07_00576","str_11546_01791","str_2788_00558"
"g009612_000003","g009612","rplW","50S ribosomal protein L23",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L23(311)","rplW(311)",294,294,294,3,8,"1D132_01666","1D132b_02264","C58_01919","F4_02007","NFIX02_04491","Arqua_04541","NFIX01_00493","ARqua1_00347","Kin001_01643","N40_94_00508","N33_94_00508","str_12D13_01571","12D13_01952","PDC82_00653","Di1525a_02517","ATCC31749_02723","J_07_00577","str_11546_01790","str_2788_00557"
"g007119_000004","g007119","rplB","50S ribosomal protein L2",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L2(311)","rplB(311)",837,837,837,3,9,"1D132_01665","1D132b_02263","C58_01918","F4_02006","NFIX02_04492","Arqua_04540","NFIX01_00492","ARqua1_00346","Kin001_01642","N40_94_00507","N33_94_00507","str_12D13_01570","12D13_01951","PDC82_00654","Di1525a_02516","ATCC31749_02722","J_07_00578","str_11546_01789","str_2788_00556"
"g007797_000004","g007797","rpsS","30S ribosomal protein S19",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S19(311)","rpsS(311)",279,279,279,3,10,"1D132_01664","1D132b_02262","C58_01917","F4_02005","NFIX02_04493","Arqua_04539","NFIX01_00491","ARqua1_00345","Kin001_01641","N40_94_00506","N33_94_00506","str_12D13_01569","12D13_01950","PDC82_00655","Di1525a_02515","ATCC31749_02721","J_07_00579","str_11546_01788","str_2788_00555"
"g000403_000001","g000403","mnmG","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG",60,57,311,1,1,1,3,0,3,0,311,"tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG(311):Ribosomal RNA small subunit methyltransferase G(3)","mnmG(311):rsmG(3)",618,2508,1871.37,4,1,"1D132_02543","1D132b_03588","C58_02785","F4_02884","NFIX02_00481","Arqua_03533","NFIX01_01036","ARqua1_03755","Kin001_02521","N40_94_04683","N33_94_04576","str_12D13_02448","12D13_04353","PDC82_02645","Di1525a_04133","ATCC31749_00526","J_07_02571","str_11546_02695","str_2788_04138"
"g000098","g000098","mnmE","tRNA modification GTPase MnmE",50,84,311,1,1,1,0,0,0,0,311,"tRNA modification GTPase MnmE(311)","mnmE(311)",1146,1338,1326.3,4,2,"1D132_02544","1D132b_03589","C58_02786","F4_02885","NFIX02_00482","Arqua_03534","NFIX01_01037","ARqua1_03756","Kin001_02522","N40_94_04684","N33_94_04577","str_12D13_02449","12D13_04354","PDC82_02644","Di1525a_04134","ATCC31749_00527","J_07_02570","str_11546_02696","str_2788_04139"
"g009870_000005","g009870","rho","Transcription termination factor Rho",95,5,311,1,1,1,0,0,0,0,311,"Transcription termination factor Rho(311)","rho(311)",1266,1395,1268.5,4,3,"1D132_02545","1D132b_03590","C58_02787","F4_02886","NFIX02_00483","Arqua_03535","NFIX01_01038","ARqua1_03757","Kin001_02523","N40_94_04685","N33_94_04578","str_12D13_02450","12D13_04355","PDC82_02643","Di1525a_04135","ATCC31749_00528","J_07_02569","str_11546_02697","str_2788_04140"
"g000085","g000085","hemE","Uroporphyrinogen decarboxylase",50,86,311,1,1,1,310,0,310,0,311,"Uroporphyrinogen decarboxylase(311):hypothetical protein(310)","hemE(311):NA(310)",483,1575,792.74,4,4,"(1D132_02546:1D132_02547)","(1D132b_03591:1D132b_03592)","(C58_02788:C58_02789)","(F4_02887:F4_02888)","(NFIX02_00484:NFIX02_00485)","(Arqua_03536:Arqua_03537)","(NFIX01_01039:NFIX01_01040)","(ARqua1_03758:ARqua1_03759)","(Kin001_02524:Kin001_02525)","(N40_94_04686:N40_94_04687)","(N33_94_04579:N33_94_04580)","(str_12D13_02451:str_12D13_02452)","(12D13_04356:12D13_04357)","(PDC82_02641:PDC82_02642)","(Di1525a_04136:Di1525a_04137)","(ATCC31749_00529:ATCC31749_00530)","(J_07_02567:J_07_02568)","(str_11546_02698:str_11546_02699)","(str_2788_04141:str_2788_04142)"
"g003786_000002","g003786","yqfL","Putative pyruvate%2C phosphate dikinase regulatory protein",70,21,311,1,1,1,0,0,0,0,311,"Putative pyruvate%2C phosphate dikinase regulatory protein(311)","yqfL(311)",663,885,812.38,4,5,"1D132_02548","1D132b_03593","C58_00001","F4_02889","NFIX02_00486","Arqua_03538","NFIX01_01041","ARqua1_03760","Kin001_02526","N40_94_04688","N33_94_04581","str_12D13_02453","12D13_04358","PDC82_02640","Di1525a_04138","ATCC31749_00531","J_07_02566","str_11546_02700","str_2788_04143"
"g000157","g000157","maf","Septum formation protein Maf",50,59,311,1,1,1,0,0,0,0,311,"Septum formation protein Maf(176):Maf-like protein YceF(133):Maf-like protein YhdE(2)","maf(176):yceF(133):yhdE(2)",600,600,600,4,6,"1D132_02549","1D132b_03594","C58_00002","F4_02890","NFIX02_00487","Arqua_03539","NFIX01_01042","ARqua1_03761","Kin001_02527","N40_94_04689","N33_94_04582","str_12D13_02454","12D13_04359","PDC82_02639","Di1525a_04139","ATCC31749_00532","J_07_02565","str_11546_02701","str_2788_04144"
"g000297_000001","g000297","aroE","Shikimate dehydrogenase (NADP(+))",60,64,311,1,1,1,0,0,0,0,311,"Shikimate dehydrogenase (NADP(+))(311)","aroE(311)",858,864,861.1,4,7,"1D132_02550","1D132b_03595","C58_00003","F4_02891","NFIX02_00488","Arqua_03540","NFIX01_01043","ARqua1_03762","Kin001_02528","N40_94_04690","N33_94_04583","str_12D13_02455","12D13_04360","PDC82_02638","Di1525a_04140","ATCC31749_00533","J_07_02564","str_11546_02702","str_2788_04145"
"g000165","g000165","coaE","Dephospho-CoA kinase",50,74,311,1,1,1,0,0,0,0,311,"Dephospho-CoA kinase(311)","coaE(311)",582,618,604.82,4,8,"1D132_02551","1D132b_03596","C58_00004","F4_02892","NFIX02_00489","Arqua_03541","NFIX01_01044","ARqua1_03763","Kin001_02529","N40_94_04691","N33_94_04584","str_12D13_02456","12D13_04361","PDC82_02637","Di1525a_04141","ATCC31749_00534","J_07_02563","str_11546_02703","str_2788_04146"
"g001374_000002","g001374","dnaQ","DNA polymerase III subunit epsilon",70,37,311,1,1,1,4,0,4,0,311,"DNA polymerase III subunit epsilon(305):DNA polymerase III PolC-type(10)","dnaQ(305):polC(10)",345,717,695.85,4,9,"1D132_02552","1D132b_03597","C58_00005","F4_02893","NFIX02_00490","Arqua_03542","NFIX01_01045","ARqua1_03764","Kin001_02530","N40_94_04692","N33_94_04585","str_12D13_02457","12D13_04362","PDC82_02636","Di1525a_04142","ATCC31749_00535","J_07_02562","str_11546_02704","str_2788_04147"
"g004610_000003","g004610","secB","Protein-export protein SecB",80,17,311,1,1,1,0,0,0,0,311,"Protein-export protein SecB(311)","secB(311)",462,483,478.8,4,10,"1D132_02553","1D132b_03598","C58_00006","F4_02894","NFIX02_00491","Arqua_03543","NFIX01_01046","ARqua1_03765","Kin001_02531","N40_94_04693","N33_94_04586","str_12D13_02458","12D13_04363","PDC82_02635","Di1525a_04143","ATCC31749_00536","J_07_02561","str_11546_02705","str_2788_04148"
"g007166_000004","g007166","rplU","50S ribosomal protein L21",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L21(311)","rplU(311)",315,318,315.79,5,1,"1D132_02498","1D132b_03543","C58_02740","F4_02838","NFIX02_00436","Arqua_03487","NFIX01_00991","ARqua1_03709","Kin001_02476","N40_94_04638","N33_94_04531","str_12D13_02403","12D13_04308","PDC82_02690","Di1525a_04088","ATCC31749_00477","J_07_02616","str_11546_02650","str_2788_04093"
"g006207_000003","g006207","rpmA","50S ribosomal protein L27",80,12,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L27(311)","rpmA(311)",270,273,270.49,5,2,"1D132_02497","1D132b_03542","C58_02739","F4_02837","NFIX02_00435","Arqua_03486","NFIX01_00990","ARqua1_03708","Kin001_02475","N40_94_04637","N33_94_04530","str_12D13_02402","12D13_04307","PDC82_02691","Di1525a_04087","ATCC31749_00476","J_07_02617","str_11546_02649","str_2788_04092"
"g004851_000002","g004851",NA,"hypothetical protein",70,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",633,639,633.85,5,3,"1D132_02496","1D132b_03541","C58_02738","F4_02836","NFIX02_00434","Arqua_03485","NFIX01_00989","ARqua1_03707","Kin001_02474","N40_94_04636","N33_94_04529","str_12D13_02401","12D13_04306","PDC82_02692","Di1525a_04086","ATCC31749_00475","J_07_02618","str_11546_02648","str_2788_04091"
"g000458","g000458",NA,"hypothetical protein",50,56,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",570,636,589.56,5,4,"1D132_02495","1D132b_03540","C58_02737","F4_02835","NFIX02_00433","Arqua_03484","NFIX01_00988","ARqua1_03706","Kin001_02473","N40_94_04635","N33_94_04528","str_12D13_02400","12D13_04305","PDC82_02693","Di1525a_04085","ATCC31749_00474","J_07_02619","str_11546_02647","str_2788_04090"
"g004323_000003","g004323","cgtA","GTPase Obg/CgtA",80,18,311,1,1,1,0,0,0,0,311,"GTPase Obg/CgtA(311)","cgtA(311)",1065,1140,1089.08,5,5,"1D132_02494","1D132b_03539","C58_02736","F4_02834","NFIX02_00432","Arqua_03483","NFIX01_00987","ARqua1_03705","Kin001_02472","N40_94_04634","N33_94_04527","str_12D13_02399","12D13_04304","PDC82_02694","Di1525a_04084","ATCC31749_00473","J_07_02620","str_11546_02646","str_2788_04089"
"g003175_000003","g003175","proB","Glutamate 5-kinase",80,24,311,1,1,1,0,0,0,0,311,"Glutamate 5-kinase(311)","proB(311)",1170,1182,1172.04,5,6,"1D132_02493","1D132b_03538","C58_02735","F4_02833","NFIX02_00431","Arqua_03482","NFIX01_00986","ARqua1_03704","Kin001_02471","N40_94_04633","N33_94_04526","str_12D13_02398","12D13_04303","PDC82_02695","Di1525a_04083","ATCC31749_00472","J_07_02621","str_11546_02645","str_2788_04088"
