"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","CG108","CG118","CG989","CG1013","T393_94","Rr4","CG47","Ni1","T60_94","T267_94","P86_93","AB4","CG964","CG49"
"g004378_000003","g004378","rplO","50S ribosomal protein L15",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L15(311)","rplO(311)",471,486,477.75,1,14,"CG108_05154","CG118_00881","CG989_01193","CG1013_03273","T393_94_03819","Rr4_01796","CG47_04248","Ni1_00628","T60_94_04592","T267_94_04496","P86_93_04495","AB4_04993","CG964_00969","CG49_05405"
"g004743_000004","g004743","secY","Protein translocase subunit SecY",90,15,311,1,1,1,0,0,0,0,311,"Protein translocase subunit SecY(311)","secY(311)",1341,1461,1342.51,1,15,"CG108_05153","CG118_00880","CG989_01194","CG1013_03274","T393_94_03820","Rr4_01795","CG47_04247","Ni1_00627","T60_94_04593","T267_94_04497","P86_93_04496","AB4_04994","CG964_00970","CG49_05406"
"g002258_000003","g002258","rsmH","Ribosomal RNA small subunit methyltransferase H",80,30,311,1,1,1,0,0,0,0,311,"Ribosomal RNA small subunit methyltransferase H(311)","rsmH(311)",684,1026,1024.9,2,1,"CG108_00130","CG118_00130","CG989_00582","CG1013_00839","T393_94_00773","Rr4_01948","CG47_00825","Ni1_02346","T60_94_03370","T267_94_00782","P86_93_00779","AB4_01974","CG964_00024","CG49_04889"
"g002894","g002894",NA,"hypothetical protein",50,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",384,567,532.21,2,2,"CG108_00129","CG118_00129","CG989_00583","CG1013_00838","T393_94_00772","Rr4_01947","CG47_00826","Ni1_02347","T60_94_03369","T267_94_00781","P86_93_00778","AB4_01975","CG964_00025","CG49_04888"
"g000328_1_000007","g000328_1","ftsI","putative peptidoglycan D%2CD-transpeptidase FtsI",70,22,311,1,1,2,0,1,0,1,312,"putative peptidoglycan D%2CD-transpeptidase FtsI(311):hypothetical protein(1)","ftsI(311):NA(1)",144,1755,1737.09,2,3,"CG108_00128","CG118_00128","CG989_00584","CG1013_00837","T393_94_00771","Rr4_01946","CG47_00827","Ni1_02348","T60_94_03368","T267_94_00780","P86_93_00777","AB4_01976","CG964_00026","CG49_04887"
"g001168_000002","g001168","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase",70,40,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase(311)","murE(311)",1302,1470,1463.41,2,4,"CG108_00127","CG118_00127","CG989_00585","CG1013_00836","T393_94_00770","Rr4_01945","CG47_00828","Ni1_02349","T60_94_03367","T267_94_00779","P86_93_00776","AB4_01977","CG964_00027","CG49_04886"
"g002659_000001","g002659","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase",60,27,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase(311)","murF(311)",1407,1461,1427.05,2,5,"CG108_00126","CG118_00126","CG989_00586","CG1013_00835","T393_94_00769","Rr4_01944","CG47_00829","Ni1_02350","T60_94_03366","T267_94_00778","P86_93_00775","AB4_01978","CG964_00028","CG49_04885"
"g005745_000003","g005745","mraY","Phospho-N-acetylmuramoyl-pentapeptide-transferase",80,13,311,1,1,1,0,0,0,0,311,"Phospho-N-acetylmuramoyl-pentapeptide-transferase(311)","mraY(311)",1101,1122,1107.58,2,6,"CG108_00125","CG118_00125","CG989_00587","CG1013_00834","T393_94_00768","Rr4_01943","CG47_00830","Ni1_02351","T60_94_03365","T267_94_00777","P86_93_00774","AB4_01979","CG964_00029","CG49_04884"
"g000775_000002","g000775","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase",70,47,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoylalanine--D-glutamate ligase(311)","murD(311)",1407,1596,1418.61,2,7,"CG108_00124","CG118_00124","CG989_00588","CG1013_00833","T393_94_00767","Rr4_01942","CG47_00831","Ni1_02352","T60_94_03364","T267_94_00776","P86_93_00773","AB4_01980","CG964_00030","CG49_04883"
"g005025_1_000003","g005025_1","ftsW","putative peptidoglycan glycosyltransferase FtsW",70,14,311,1,1,1,0,0,0,0,311,"putative peptidoglycan glycosyltransferase FtsW(311)","ftsW(311)",465,1158,1152.79,2,8,"CG108_00123","CG118_00123","CG989_00589","CG1013_00832","T393_94_00766","Rr4_01941","CG47_00832","Ni1_02353","T60_94_03363","T267_94_00775","P86_93_00772","AB4_01981","CG964_00031","CG49_04882"
"g001766_000002","g001766","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase",70,32,311,1,1,1,1,0,1,0,311,"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase(312)","murG(312)",312,1140,1127.62,2,9,"CG108_00122","CG118_00122","CG989_00590","CG1013_00831","T393_94_00765","Rr4_01940","CG47_00833","Ni1_02354","T60_94_03362","T267_94_00774","P86_93_00771","AB4_01982","CG964_00032","CG49_04881"
"g004519_000003","g004519","murC","UDP-N-acetylmuramate--L-alanine ligase",80,15,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramate--L-alanine ligase(311)","murC(311)",1389,1446,1416.02,2,10,"CG108_00121","CG118_00121","CG989_00591","CG1013_00830","T393_94_00764","Rr4_01939","CG47_00834","Ni1_02355","T60_94_03361","T267_94_00773","P86_93_00770","AB4_01983","CG964_00033","CG49_04880"
"g003732_000003","g003732","murB","UDP-N-acetylenolpyruvoylglucosamine reductase",80,19,311,1,1,1,0,0,0,0,311,"UDP-N-acetylenolpyruvoylglucosamine reductase(311)","murB(311)",966,975,969.94,2,11,"CG108_00120","CG118_00120","CG989_00592","CG1013_00829","T393_94_00763","Rr4_01938","CG47_00835","Ni1_02356","T60_94_03360","T267_94_00772","P86_93_00769","AB4_01984","CG964_00034","CG49_04879"
"g003127_000002","g003127",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",294,354,297.47,3,1,"CG108_05180","CG118_00907","CG989_01167","CG1013_03247","T393_94_02450","Rr4_01822","CG47_04274","Ni1_00654","T60_94_02826","T267_94_04470","P86_93_02696","AB4_04967","CG964_00943","CG49_05379"
"g000002_000006","g000002","rpsL","30S ribosomal protein S12",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S12(311)","rpsL(311)",372,372,372,3,2,"CG108_05178","CG118_00905","CG989_01169","CG1013_03249","T393_94_02452","Rr4_01820","CG47_04272","Ni1_00652","T60_94_02828","T267_94_04472","P86_93_02698","AB4_04969","CG964_00945","CG49_05381"
"g009525_000004","g009525","rpsG","30S ribosomal protein S7",90,7,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S7(311)","rpsG(311)",393,471,470.75,3,3,"CG108_05177","CG118_00904","CG989_01170","CG1013_03250","T393_94_02453","Rr4_01819","CG47_04271","Ni1_00651","T60_94_02829","T267_94_04473","P86_93_02699","AB4_04970","CG964_00946","CG49_05382"
"g007880_000004","g007880","fusA","Elongation factor G",90,7,311,1,1,1,0,0,0,0,311,"Elongation factor G(311)","fusA(311)",2100,2100,2100,3,4,"CG108_05176","CG118_00903","CG989_01171","CG1013_03251","T393_94_02454","Rr4_01818","CG47_04270","Ni1_00650","T60_94_02830","T267_94_04474","P86_93_02700","AB4_04971","CG964_00947","CG49_05383"
"g000001_000006","g000001","rpsJ","30S ribosomal protein S10",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S10(311)","rpsJ(311)",309,309,309,3,5,"CG108_05174","CG118_00901","CG989_01173","CG1013_03253","T393_94_03799","Rr4_01816","CG47_04268","Ni1_00648","T60_94_04572","T267_94_04476","P86_93_04475","AB4_04973","CG964_00949","CG49_05385"
"g005427_000003","g005427","rplC","50S ribosomal protein L3",80,13,311,1,1,1,1,0,1,0,311,"50S ribosomal protein L3(312)","rplC(312)",270,642,639.61,3,6,"CG108_05173","CG118_00900","CG989_01174","CG1013_03254","T393_94_03800","Rr4_01815","CG47_04267","Ni1_00647","T60_94_04573","T267_94_04477","P86_93_04476","AB4_04974","CG964_00950","CG49_05386"
"g006439_000003","g006439","rplD","50S ribosomal protein L4",80,11,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L4(311)","rplD(311)",519,621,620.34,3,7,"CG108_05172","CG118_00899","CG989_01175","CG1013_03255","T393_94_03801","Rr4_01814","CG47_04266","Ni1_00646","T60_94_04574","T267_94_04478","P86_93_04477","AB4_04975","CG964_00951","CG49_05387"
"g009612_000003","g009612","rplW","50S ribosomal protein L23",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L23(311)","rplW(311)",294,294,294,3,8,"CG108_05171","CG118_00898","CG989_01176","CG1013_03256","T393_94_03802","Rr4_01813","CG47_04265","Ni1_00645","T60_94_04575","T267_94_04479","P86_93_04478","AB4_04976","CG964_00952","CG49_05388"
"g007119_000004","g007119","rplB","50S ribosomal protein L2",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L2(311)","rplB(311)",837,837,837,3,9,"CG108_05170","CG118_00897","CG989_01177","CG1013_03257","T393_94_03803","Rr4_01812","CG47_04264","Ni1_00644","T60_94_04576","T267_94_04480","P86_93_04479","AB4_04977","CG964_00953","CG49_05389"
"g007797_000004","g007797","rpsS","30S ribosomal protein S19",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S19(311)","rpsS(311)",279,279,279,3,10,"CG108_05169","CG118_00896","CG989_01178","CG1013_03258","T393_94_03804","Rr4_01811","CG47_04263","Ni1_00643","T60_94_04577","T267_94_04481","P86_93_04480","AB4_04978","CG964_00954","CG49_05390"
"g000403_000001","g000403","mnmG","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG",60,57,311,1,1,1,3,0,3,0,311,"tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG(311):Ribosomal RNA small subunit methyltransferase G(3)","mnmG(311):rsmG(3)",618,2508,1871.37,4,1,"CG108_04298","CG118_03590","CG989_04372","CG1013_00945","T393_94_01199","Rr4_00385","CG47_01634","Ni1_01078","T60_94_01681","T267_94_01508","P86_93_01508","AB4_00342","CG964_01681","CG49_01388"
"g000098","g000098","mnmE","tRNA modification GTPase MnmE",50,84,311,1,1,1,0,0,0,0,311,"tRNA modification GTPase MnmE(311)","mnmE(311)",1146,1338,1326.3,4,2,"CG108_04299","CG118_03591","CG989_04373","CG1013_00946","T393_94_01200","Rr4_00386","CG47_01633","Ni1_01077","T60_94_01682","T267_94_01509","P86_93_01509","AB4_00341","CG964_01682","CG49_01389"
"g009870_000005","g009870","rho","Transcription termination factor Rho",95,5,311,1,1,1,0,0,0,0,311,"Transcription termination factor Rho(311)","rho(311)",1266,1395,1268.5,4,3,"CG108_04300","CG118_03592","CG989_04374","CG1013_00947","T393_94_01201","Rr4_00387","CG47_01632","Ni1_01076","T60_94_01683","T267_94_01510","P86_93_01510","AB4_00340","CG964_01683","CG49_01390"
"g000085","g000085","hemE","Uroporphyrinogen decarboxylase",50,86,311,1,1,1,310,0,310,0,311,"Uroporphyrinogen decarboxylase(311):hypothetical protein(310)","hemE(311):NA(310)",483,1575,792.74,4,4,"(CG108_04301:CG108_04302)","(CG118_03593:CG118_03594)","(CG989_04375:CG989_04376)","(CG1013_00948:CG1013_00949)","(T393_94_01202:T393_94_01203)","(Rr4_00388:Rr4_00389)","(CG47_01630:CG47_01631)","(Ni1_01074:Ni1_01075)","(T60_94_01684:T60_94_01685)","(T267_94_01511:T267_94_01512)","(P86_93_01511:P86_93_01512)","(AB4_00338:AB4_00339)","(CG964_01684:CG964_01685)","(CG49_01391:CG49_01392)"
"g003786_000002","g003786","yqfL","Putative pyruvate%2C phosphate dikinase regulatory protein",70,21,311,1,1,1,0,0,0,0,311,"Putative pyruvate%2C phosphate dikinase regulatory protein(311)","yqfL(311)",663,885,812.38,4,5,"CG108_04304","CG118_03596","CG989_04378","CG1013_00950","T393_94_01204","Rr4_00390","CG47_01629","Ni1_01073","T60_94_01686","T267_94_01513","P86_93_01513","AB4_00337","CG964_01686","CG49_01393"
"g000157","g000157","maf","Septum formation protein Maf",50,59,311,1,1,1,0,0,0,0,311,"Septum formation protein Maf(176):Maf-like protein YceF(133):Maf-like protein YhdE(2)","maf(176):yceF(133):yhdE(2)",600,600,600,4,6,"CG108_04305","CG118_03597","CG989_04379","CG1013_00951","T393_94_01205","Rr4_00391","CG47_01628","Ni1_01072","T60_94_01687","T267_94_01514","P86_93_01514","AB4_00336","CG964_01687","CG49_01394"
"g000297_000001","g000297","aroE","Shikimate dehydrogenase (NADP(+))",60,64,311,1,1,1,0,0,0,0,311,"Shikimate dehydrogenase (NADP(+))(311)","aroE(311)",858,864,861.1,4,7,"CG108_04306","CG118_03598","CG989_04380","CG1013_00952","T393_94_01206","Rr4_00392","CG47_01627","Ni1_01071","T60_94_01688","T267_94_01515","P86_93_01515","AB4_00335","CG964_01688","CG49_01395"
"g000165","g000165","coaE","Dephospho-CoA kinase",50,74,311,1,1,1,0,0,0,0,311,"Dephospho-CoA kinase(311)","coaE(311)",582,618,604.82,4,8,"CG108_04307","CG118_03599","CG989_04381","CG1013_00953","T393_94_01207","Rr4_00393","CG47_01626","Ni1_01070","T60_94_01689","T267_94_01516","P86_93_01516","AB4_00334","CG964_01689","CG49_01396"
"g001374_000002","g001374","dnaQ","DNA polymerase III subunit epsilon",70,37,311,1,1,1,4,0,4,0,311,"DNA polymerase III subunit epsilon(305):DNA polymerase III PolC-type(10)","dnaQ(305):polC(10)",345,717,695.85,4,9,"CG108_04308","CG118_03600","CG989_04382","CG1013_00954","T393_94_01208","Rr4_00394","CG47_01625","Ni1_01069","T60_94_01690","T267_94_01517","P86_93_01517","AB4_00333","CG964_01690","CG49_01397"
"g004610_000003","g004610","secB","Protein-export protein SecB",80,17,311,1,1,1,0,0,0,0,311,"Protein-export protein SecB(311)","secB(311)",462,483,478.8,4,10,"CG108_04309","CG118_03601","CG989_04383","CG1013_00955","T393_94_01209","Rr4_00395","CG47_01624","Ni1_01068","T60_94_01691","T267_94_01518","P86_93_01518","AB4_00332","CG964_01691","CG49_01398"
"g007166_000004","g007166","rplU","50S ribosomal protein L21",90,10,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L21(311)","rplU(311)",315,318,315.79,5,1,"CG108_04204","CG118_03496","CG989_04278","CG1013_04412","T393_94_05131","Rr4_01166","CG47_01981","Ni1_04616","T60_94_05563","T267_94_05530","P86_93_05462","AB4_00978","CG964_04790","CG49_01776"
"g006207_000003","g006207","rpmA","50S ribosomal protein L27",80,12,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L27(311)","rpmA(311)",270,273,270.49,5,2,"CG108_04203","CG118_03495","CG989_04277","CG1013_04413","T393_94_05130","Rr4_01165","CG47_01980","Ni1_04615","T60_94_05562","T267_94_05529","P86_93_05461","AB4_00979","CG964_04789","CG49_01777"
"g004851_000002","g004851",NA,"hypothetical protein",70,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",633,639,633.85,5,3,"CG108_04202","CG118_03494","CG989_04276","CG1013_04414","T393_94_05129","Rr4_01164","CG47_01979","Ni1_04614","T60_94_05561","T267_94_05528","P86_93_05460","AB4_00980","CG964_04788","CG49_01778"
"g000458","g000458",NA,"hypothetical protein",50,56,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",570,636,589.56,5,4,"CG108_04201","CG118_03493","CG989_04275","CG1013_04415","T393_94_05128","Rr4_01163","CG47_01978","Ni1_04613","T60_94_05560","T267_94_05527","P86_93_05459","AB4_00981","CG964_04787","CG49_01779"
"g004323_000003","g004323","cgtA","GTPase Obg/CgtA",80,18,311,1,1,1,0,0,0,0,311,"GTPase Obg/CgtA(311)","cgtA(311)",1065,1140,1089.08,5,5,"CG108_04199","CG118_03491","CG989_04273","CG1013_04417","T393_94_05126","Rr4_01161","CG47_01976","Ni1_04611","T60_94_05558","T267_94_05525","P86_93_05457","AB4_00983","CG964_04785","CG49_01781"
"g003175_000003","g003175","proB","Glutamate 5-kinase",80,24,311,1,1,1,0,0,0,0,311,"Glutamate 5-kinase(311)","proB(311)",1170,1182,1172.04,5,6,"CG108_04198","CG118_03490","CG989_04272","CG1013_04418","T393_94_05125","Rr4_01160","CG47_01975","Ni1_04610","T60_94_05557","T267_94_05524","P86_93_05456","AB4_00984","CG964_04784","CG49_01782"
"g000745_000002","g000745","proA","Gamma-glutamyl phosphate reductase",70,48,311,1,1,1,0,0,0,0,311,"Gamma-glutamyl phosphate reductase(311)","proA(311)",1284,1287,1285.69,5,7,"CG108_04197","CG118_03489","CG989_04271","CG1013_04419","T393_94_05124","Rr4_01159","CG47_01974","Ni1_04609","T60_94_05556","T267_94_05523","P86_93_05455","AB4_00985","CG964_04783","CG49_01783"
"g001901_000002","g001901","nadD","nicotinate-nucleotide adenylyltransferase",70,32,311,1,1,1,0,0,0,0,311,"nicotinate-nucleotide adenylyltransferase(311)","nadD(311)",561,660,614.62,5,8,"CG108_04196","CG118_03488","CG989_04270","CG1013_04420","T393_94_05123","Rr4_01158","CG47_01973","Ni1_04608","T60_94_05555","T267_94_05522","P86_93_05454","AB4_00986","CG964_04782","CG49_01784"
"g000376","g000376","modA","Molybdate-binding protein ModA",50,60,311,1,1,1,0,0,0,0,311,"Molybdate-binding protein ModA(311)","modA(311)",738,819,797.56,5,9,"CG108_05045","CG118_03812","CG989_05401","CG1013_04113","T393_94_04274","Rr4_05197","CG47_04110","Ni1_04070","T60_94_03924","T267_94_03810","P86_93_03827","AB4_04418","CG964_04177","CG49_04945"
"g002153_1_000003","g002153_1","modB","Molybdenum transport system permease protein ModB",70,30,311,1,1,1,0,0,0,0,311,"Molybdenum transport system permease protein ModB(311)","modB(311)",693,759,701.92,5,10,"CG108_05044","CG118_03811","CG989_05400","CG1013_04114","T393_94_04275","Rr4_05198","CG47_04109","Ni1_04071","T60_94_03925","T267_94_03811","P86_93_03828","AB4_04417","CG964_04176","CG49_04946"
"g000925_000003","g000925",NA,"hypothetical protein",80,44,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1134,1356,1294.04,6,1,"CG108_03883","CG118_04612","CG989_04583","CG1013_03876","T393_94_04035","Rr4_04113","CG47_03533","Ni1_03856","T60_94_04809","T267_94_05093","P86_93_04711","AB4_04657","CG964_03411","CG49_04385"
"g001036_000003","g001036","hcaB","3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase",80,42,311,1,1,1,1,0,1,0,311,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase(310):hypothetical protein(2)","hcaB(310):NA(2)",261,2112,2089.38,6,2,"CG108_03882","CG118_04613","CG989_04584","CG1013_03877","T393_94_04036","Rr4_04112","CG47_03534","Ni1_03855","T60_94_04810","T267_94_05094","P86_93_04712","AB4_04656","CG964_03410","CG49_04386"
"g003902_000003","g003902","ulaR","HTH-type transcriptional regulator UlaR",80,15,311,1,1,1,1,0,1,0,311,"HTH-type transcriptional regulator UlaR(311):hypothetical protein(1)","ulaR(311):NA(1)",297,831,820.45,6,3,"CG108_03881","CG118_04614","CG989_04585","CG1013_03878","T393_94_04037","Rr4_04111","CG47_03535","Ni1_03854","T60_94_04811","T267_94_05095","P86_93_04713","AB4_04655","CG964_03409","CG49_04387"
"g004585_000003","g004585","lsrB","Autoinducer 2-binding protein LsrB",80,17,311,1,1,2,0,1,0,1,312,"Autoinducer 2-binding protein LsrB(311):hypothetical protein(1)","lsrB(311):NA(1)",246,1011,1002.01,6,4,"CG108_03880","CG118_04615","CG989_04586","CG1013_03879","T393_94_04038","Rr4_04110","CG47_03536","Ni1_03853","T60_94_04812","T267_94_05096","P86_93_04714","AB4_04654","CG964_03408","CG49_04388"
"g000355_1_000023","g000355_1","rbsA","Ribose import ATP-binding protein RbsA",80,48,311,1,1,1,3,0,3,0,311,"Ribose import ATP-binding protein RbsA(311):hypothetical protein(3)","rbsA(311):NA(3)",288,1599,1506.69,6,5,"CG108_03879","CG118_04616","CG989_04587","CG1013_03880","T393_94_04039","Rr4_04109","CG47_03537","Ni1_03852","T60_94_04813","T267_94_05097","P86_93_04715","AB4_04653","CG964_03407","CG49_04389"
"g001785_000002","g001785","rbsC","Ribose import permease protein RbsC",70,34,311,1,1,1,0,0,0,0,311,"Ribose import permease protein RbsC(263):D-allose transport system permease protein AlsC(46):Autoinducer 2 import system permease protein LsrC(2)","rbsC(263):alsC(46):lsrC(2)",993,1008,1002.74,6,6,"CG108_03878","CG118_04617","CG989_04588","CG1013_03881","T393_94_04040","Rr4_04108","CG47_03538","Ni1_03851","T60_94_04814","T267_94_05098","P86_93_04716","AB4_04652","CG964_03406","CG49_04390"
"g002265_000003","g002265","lsrD","Autoinducer 2 import system permease protein LsrD",80,30,311,1,1,1,1,0,1,0,311,"Autoinducer 2 import system permease protein LsrD(311):hypothetical protein(1)","lsrD(311):NA(1)",309,1017,1008.64,6,7,"CG108_03877","CG118_04618","CG989_04589","CG1013_03882","T393_94_04041","Rr4_04107","CG47_03539","Ni1_03850","T60_94_04815","T267_94_05099","P86_93_04717","AB4_04651","CG964_03405","CG49_04391"
"g000401_000002","g000401","rhaM","L-rhamnose mutarotase",70,58,311,1,1,1,0,0,0,0,311,"L-rhamnose mutarotase(311)","rhaM(311)",324,327,324.79,6,8,"CG108_03876","CG118_04619","CG989_04590","CG1013_03883","T393_94_04042","Rr4_04106","CG47_03540","Ni1_03849","T60_94_04816","T267_94_05100","P86_93_04718","AB4_04650","CG964_03404","CG49_04392"
